team_id,team_name,season,valid_from_season,mp,wins,draws,losses,points,goals_for,goals_against,goal_difference,clean_sheets,failed_to_score,home_mp,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_mp,away_wins,away_draws,away_losses,away_goals_for,away_goals_against,shots_for,shots_against,sot_for,sot_against,fouls_for,fouls_against,corners_for,corners_against,yellows_for,yellows_against,reds_for,reds_against,ppg,win_rate,draw_rate,loss_rate,avg_goals_for,avg_goals_against,avg_goal_difference,sot_accuracy,sot_conceded_rate,shot_conversion,clean_sheet_rate,failed_to_score_rate,corners_pg,fouls_pg,yellows_pg,reds_pg,shots_pg,shots_conceded_pg,sot_pg,sot_conceded_pg,home_win_rate,away_win_rate,home_ppg,away_ppg,home_goal_diff_pg,away_goal_diff_pg
1,Arsenal,2018/19,2019/20,38,21,7,10,70,73,51,22,8,4,19,14,3,2,42,16,19,7,4,8,31,35,466,494,170,183,412,469,212,184,72,75,2,2,1.8421052631578947,0.5526315789473685,0.1842105263157894,0.2631578947368421,1.9210526315789476,1.3421052631578947,0.5789473684210527,0.3648068669527897,0.37044534412955465,0.15665236051502146,0.21052631578947367,0.10526315789473684,5.578947368421052,10.842105263157896,1.894736842105263,0.05263157894736842,12.263157894736842,13.0,4.473684210526316,4.815789473684211,0.7368421052631579,0.3684210526315789,2.3684210526315788,1.3157894736842106,1.368421052631579,-0.21052631578947367
3,Bournemouth,2018/19,2019/20,38,13,6,19,45,56,70,-14,10,12,19,8,5,6,30,25,19,5,1,13,26,45,447,521,163,175,339,455,191,225,60,86,1,9,1.1842105263157894,0.3421052631578947,0.1578947368421052,0.5,1.4736842105263157,1.8421052631578947,-0.3684210526315789,0.36465324384787473,0.33589251439539347,0.12527964205816555,0.2631578947368421,0.3157894736842105,5.026315789473684,8.921052631578947,1.5789473684210527,0.02631578947368421,11.763157894736842,13.710526315789474,4.2894736842105265,4.605263157894737,0.42105263157894735,0.2631578947368421,1.5263157894736843,0.8421052631578947,0.2631578947368421,-1.0
5,Brighton,2018/19,2019/20,38,9,9,20,36,35,60,-25,7,13,19,6,5,8,19,28,19,3,4,12,16,32,365,582,108,175,463,322,156,216,60,51,4,2,0.9473684210526316,0.2368421052631578,0.2368421052631578,0.5263157894736842,0.9210526315789472,1.5789473684210529,-0.6578947368421053,0.2958904109589041,0.3006872852233677,0.0958904109589041,0.18421052631578946,0.34210526315789475,4.105263157894737,12.18421052631579,1.5789473684210527,0.10526315789473684,9.605263157894736,15.31578947368421,2.8421052631578947,4.605263157894737,0.3157894736842105,0.15789473684210525,1.2105263157894737,0.6842105263157895,-0.47368421052631576,-0.8421052631578947
6,Burnley,2018/19,2019/20,38,11,7,20,40,45,68,-23,8,12,19,7,2,10,24,32,19,4,5,10,21,36,359,650,115,210,359,376,140,245,75,56,1,3,1.0526315789473684,0.2894736842105263,0.1842105263157894,0.5263157894736842,1.1842105263157894,1.7894736842105263,-0.6052631578947368,0.3203342618384401,0.3230769230769231,0.12534818941504178,0.21052631578947367,0.3157894736842105,3.6842105263157894,9.447368421052632,1.9736842105263157,0.02631578947368421,9.447368421052632,17.105263157894736,3.026315789473684,5.526315789473684,0.3684210526315789,0.21052631578947367,1.2105263157894737,0.8947368421052632,-0.42105263157894735,-0.7894736842105263
7,Cardiff,2018/19,2019/20,38,10,4,24,34,34,69,-35,10,17,19,6,2,11,21,38,19,4,2,13,13,31,417,571,126,212,384,415,168,260,65,48,1,3,0.8947368421052632,0.2631578947368421,0.1052631578947368,0.631578947368421,0.8947368421052632,1.8157894736842104,-0.9210526315789472,0.302158273381295,0.3712784588441331,0.0815347721822542,0.2631578947368421,0.4473684210526316,4.421052631578948,10.105263157894736,1.7105263157894737,0.02631578947368421,10.973684210526315,15.026315789473685,3.3157894736842106,5.578947368421052,0.3157894736842105,0.21052631578947367,1.0526315789473684,0.7368421052631579,-0.8947368421052632,-0.9473684210526315
8,Chelsea,2018/19,2019/20,38,21,9,8,72,63,39,24,16,10,19,12,6,1,39,12,19,9,3,7,24,27,606,347,198,127,339,431,215,141,49,63,0,0,1.894736842105263,0.5526315789473685,0.2368421052631578,0.2105263157894736,1.6578947368421053,1.0263157894736843,0.631578947368421,0.32673267326732675,0.3659942363112392,0.10396039603960396,0.42105263157894735,0.2631578947368421,5.657894736842105,8.921052631578947,1.2894736842105263,0.0,15.947368421052632,9.131578947368421,5.2105263157894735,3.3421052631578947,0.631578947368421,0.47368421052631576,2.210526315789474,1.5789473684210527,1.4210526315789473,-0.15789473684210525
10,Crystal Palace,2018/19,2019/20,38,14,7,17,49,51,53,-2,12,11,19,5,5,9,19,23,19,9,2,8,32,30,491,525,146,164,386,408,205,216,58,61,2,2,1.2894736842105263,0.3684210526315789,0.1842105263157894,0.4473684210526316,1.3421052631578947,1.394736842105263,-0.0526315789473684,0.2973523421588595,0.31238095238095237,0.10386965376782077,0.3157894736842105,0.2894736842105263,5.394736842105263,10.157894736842104,1.5263157894736843,0.05263157894736842,12.921052631578947,13.81578947368421,3.8421052631578947,4.315789473684211,0.2631578947368421,0.47368421052631576,1.0526315789473684,1.5263157894736843,-0.21052631578947367,0.10526315789473684
11,Everton,2018/19,2019/20,38,15,9,14,54,54,46,8,14,10,19,10,4,5,30,21,19,5,5,9,24,25,495,402,169,137,432,440,215,179,55,75,4,2,1.4210526315789471,0.3947368421052631,0.2368421052631578,0.3684210526315789,1.4210526315789471,1.2105263157894737,0.2105263157894736,0.3414141414141414,0.3407960199004975,0.10909090909090909,0.3684210526315789,0.2631578947368421,5.657894736842105,11.368421052631579,1.4473684210526316,0.10526315789473684,13.026315789473685,10.578947368421053,4.447368421052632,3.6052631578947367,0.5263157894736842,0.2631578947368421,1.7894736842105263,1.0526315789473684,0.47368421052631576,-0.05263157894736842
12,Fulham,2018/19,2019/20,38,7,5,26,26,34,81,-47,5,15,19,6,3,10,22,36,19,1,2,16,12,45,453,583,149,225,423,354,161,226,68,43,2,0,0.6842105263157895,0.1842105263157894,0.131578947368421,0.6842105263157895,0.8947368421052632,2.131578947368421,-1.236842105263158,0.32891832229580575,0.38593481989708406,0.07505518763796909,0.13157894736842105,0.39473684210526316,4.2368421052631575,11.131578947368421,1.7894736842105263,0.05263157894736842,11.921052631578947,15.342105263157896,3.9210526315789473,5.921052631578948,0.3157894736842105,0.05263157894736842,1.105263157894737,0.2631578947368421,-0.7368421052631579,-1.736842105263158
13,Huddersfield,2018/19,2019/20,38,3,7,28,16,22,76,-54,5,19,19,2,3,14,10,31,19,1,4,14,12,45,400,520,118,191,420,384,162,170,55,66,4,2,0.4210526315789473,0.0789473684210526,0.1842105263157894,0.7368421052631579,0.5789473684210527,2.0,-1.4210526315789471,0.295,0.36730769230769234,0.055,0.13157894736842105,0.5,4.2631578947368425,11.052631578947368,1.4473684210526316,0.10526315789473684,10.526315789473685,13.68421052631579,3.1052631578947367,5.026315789473684,0.10526315789473684,0.05263157894736842,0.47368421052631576,0.3684210526315789,-1.105263157894737,-1.736842105263158
17,Leicester,2018/19,2019/20,38,15,7,16,52,51,48,3,10,8,19,8,3,8,24,20,19,7,4,8,27,28,515,426,184,139,351,401,210,202,57,67,5,6,1.368421052631579,0.3947368421052631,0.1842105263157894,0.4210526315789473,1.3421052631578947,1.263157894736842,0.0789473684210526,0.3572815533980582,0.32629107981220656,0.09902912621359224,0.2631578947368421,0.21052631578947367,5.526315789473684,9.236842105263158,1.5,0.13157894736842105,13.552631578947368,11.210526315789474,4.842105263157895,3.6578947368421053,0.42105263157894735,0.3684210526315789,1.4210526315789473,1.3157894736842106,0.21052631578947367,-0.05263157894736842
18,Liverpool,2018/19,2019/20,38,30,7,1,97,89,22,67,21,3,19,17,2,0,55,10,19,13,5,1,34,12,574,307,226,97,315,366,249,126,37,48,2,1,2.5526315789473686,0.7894736842105263,0.1842105263157894,0.0263157894736842,2.3421052631578947,0.5789473684210527,1.763157894736842,0.39372822299651566,0.31596091205211724,0.15505226480836237,0.5526315789473685,0.07894736842105263,6.552631578947368,8.289473684210526,0.9736842105263158,0.05263157894736842,15.105263157894736,8.078947368421053,5.947368421052632,2.5526315789473686,0.8947368421052632,0.6842105263157895,2.789473684210526,2.3157894736842106,2.3684210526315788,1.1578947368421053
