player_id,player_name,season,valid_from_season,team_id,primary_position,age,matches_played,starts,minutes_played,minutes_per_90,goals,assists,goals_assists,non_pen_goals,xg,xag,npxg,npxg_xag,shots,shots_on_target,sot_pct,avg_shot_distance,goals_per_shot,goals_per_sot,goals_per_90,assists_per_90,xg_per_90,xag_per_90,npxg_per_90,g_a_per_90,shots_per_90,sot_per_90,sca,gca,sca_per_90,gca_per_90,sca_per_90_calc,gca_per_90_calc,key_passes,passes_into_box,prog_passes,prog_carries,prog_receptions,tackles,tackles_won,interceptions,clearances,blocks,errors_leading_to_shot,tackles_per_90,interceptions_per_90,yellows,reds,fouls_committed,fouls_drawn,touches,carries,carry_dist,progressive_carry_dist,dribbles_attempted,dribbles_completed,dribble_success_rate,miscontrols,dispossessed,performance_score
122,Zian Flemming,2025/26,2026/27,6,FW,27.0,2,0,22.0,0.2,0,0,0,0,0.0,0.1,0.0,0.1,0,0,,,,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,1,2,0,0,0,0,1,0,0.0,0.0,0,0,0,0,8,3,18,15,1,0,0.0,1,0,0.25874587458745874
123,Alejandro Garnacho,2025/26,2026/27,8,FW,21.0,1,0,12.0,0.1,0,0,0,0,0.0,0.1,0.0,0.1,0,0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,7.5,0.0,10.0,0.0,1,0,0,3,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,5,67,56,0,0,,1,0,0.289026402640264
124,Andrey Santos,2025/26,2026/27,8,MF,21.0,3,0,51.0,0.6,0,0,0,0,0.3,0.1,0.3,0.4,2,1,50.0,14.1,0.0,0.0,0.0,0.0,0.5,0.16666666666666669,0.5,0.0,3.3333333333333335,1.6666666666666667,2,0,3.53,0.0,3.3333333333333335,0.0,2,0,3,2,5,1,1,1,0,0,0,1.6666666666666667,1.6666666666666667,1,0,2,1,30,22,109,63,0,0,,1,0,0.42103960396039597
125,Cole Palmer,2025/26,2026/27,8,MF,23.0,2,1,125.0,1.4,1,0,1,1,0.8,0.0,0.8,0.8,9,2,22.2,20.2,0.11,0.5,0.7142857142857143,0.0,0.5714285714285715,0.0,0.5714285714285715,0.7142857142857143,6.428571428571429,1.4285714285714286,9,1,6.48,0.72,6.428571428571429,0.7142857142857143,1,2,10,9,14,2,2,0,1,0,0,1.4285714285714286,0.0,0,0,1,1,66,45,290,154,5,2,40.0,3,2,0.6314356435643566
126,Enzo Fernández,2025/26,2026/27,8,MF,24.0,4,4,348.0,3.9,2,1,3,1,1.9,0.7,1.1,1.9,4,1,25.0,16.4,0.25,1.0,0.5128205128205129,0.25641025641025644,0.48717948717948717,0.1794871794871795,0.2820512820512821,0.7692307692307693,1.0256410256410258,0.25641025641025644,12,2,3.1,0.52,3.076923076923077,0.5128205128205129,6,6,19,5,16,6,4,3,3,2,0,1.5384615384615385,0.7692307692307693,0,0,3,3,268,157,641,283,3,0,0.0,5,8,0.8275577557755776
127,Estêvão Willian,2025/26,2026/27,8,FW,18.0,3,2,180.0,2.0,0,1,1,0,1.0,0.9,1.0,1.9,3,2,66.7,12.8,0.0,0.0,0.0,0.5,0.5,0.45,0.5,0.5,1.5,1.0,5,2,2.5,1.0,2.5,1.0,2,1,3,7,19,3,2,0,2,1,0,1.5,0.0,1,0,3,0,90,57,413,220,16,8,50.0,2,4,0.6944719471947194
128,Facundo Buonanotte,2025/26,2026/27,8,MF,20.0,1,1,45.0,0.5,0,0,0,0,0.0,0.3,0.0,0.3,0,0,,,,,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,2,0,4.0,0.0,4.0,0.0,2,0,0,0,5,1,0,0,0,1,0,2.0,0.0,0,0,0,0,30,16,64,9,1,0,0.0,2,0,0.311056105610561
129,Jamie Gittens,2025/26,2026/27,8,FW,21.0,4,2,145.0,1.6,0,0,0,0,0.1,0.1,0.1,0.2,4,1,25.0,23.5,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,2.5,0.625,5,0,3.1,0.0,3.125,0.0,3,1,1,5,11,2,1,0,1,1,0,1.25,0.0,0,0,5,1,54,32,248,109,6,2,33.3,6,0,0.48993399339934
130,Jorrel Hato,2025/26,2026/27,8,DF,19.0,2,1,67.0,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,2,1,0,0.0,0.0,2,0,2,0,43,24,59,16,1,1,100.0,1,3,0.28886138613861384
131,Joshua Acheampong,2025/26,2026/27,8,DF,19.0,1,1,90.0,1.0,0,0,0,0,0.1,0.0,0.1,0.1,1,0,0.0,4.3,0.0,,0.0,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,3,0,0,2,2,1,5,0,1,2.0,1.0,0,0,0,2,102,80,370,190,3,2,66.7,0,0,0.4292079207920792
